country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,month_year,year
Australia,AUS,2022-03-29,56242913.0,22202366.0,21200432.0,63598.0,65688.0,218.1,86.1,82.21,2547.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/,2022-03,2022
Austria,AUT,2022-03-25,18131115.0,6812569.0,6588761.0,,1401.0,200.5,75.33,72.86,155.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,2022-03,2022
Azerbaijan,AZE,2022-03-29,13425032.0,5322427.0,4821276.0,18957.0,8064.0,131.32,52.06,47.16,789.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az,2022-03,2022
Bahamas,BHS,2022-03-25,334155.0,164961.0,156089.0,6771.0,178.0,84.19,41.56,39.33,448.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2022-03,2022
Bahrain,BHR,2022-03-23,3421273.0,1232740.0,1216033.0,1704.0,525.0,195.69,70.51,69.56,300.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/,2022-03,2022
Bangladesh,BGD,2022-03-29,243642749.0,127544055.0,107712737.0,5183737.0,2411925.0,146.5,76.69,64.77,14503.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php,2022-03,2022
Barbados,BRB,2022-03-28,312145.0,161076.0,151069.0,51.0,91.0,108.49,55.99,52.51,316.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://gisbarbados.gov.bb/blog/covid-19-update-for-monday-march-28/,2022-03,2022
Belarus,BLR,2022-03-20,11634483.0,5801653.0,5565214.0,,41968.0,123.21,61.44,58.94,4444.0,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2022-03,2022
Belgium,BEL,2022-03-26,25235826.0,9230428.0,9126319.0,4815.0,4225.0,216.95,79.35,78.46,363.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/,2022-03,2022
Belize,BLZ,2022-03-25,467251.0,236015.0,209156.0,5470.0,283.0,115.39,58.29,51.65,699.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2022-03,2022
Benin,BEN,2022-03-22,3333450.0,2955274.0,2430934.0,,19501.0,26.77,23.74,19.52,1566.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.who.int/,2022-03,2022
Bermuda,BMU,2022-03-25,127090.0,48196.0,46699.0,,90.0,204.68,77.62,75.21,1449.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2022-03,2022
Bhutan,BTN,2022-03-20,1787937.0,687549.0,579640.0,414.0,7094.0,229.25,88.16,74.32,9096.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022-03,2022
Bolivia,BOL,2022-03-20,12972370.0,7043449.0,5747856.0,31145.0,22705.0,109.63,59.52,48.58,1919.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/,2022-03,2022
Bonaire Sint Eustatius and Saba,BES,2021-09-01,35845.0,19109.0,16736.0,,196.0,135.55,72.26,63.29,7412.0,"Moderna, Pfizer/BioNTech",World Health Organization,https://www.rivm.nl/sites/default/files/2021-09/COVID-19_website_rapport_eilanden_engels_35_20210902_1409.pdf,2021-09,2021
Bosnia and Herzegovina,BIH,2022-01-29,1924950.0,943394.0,846080.0,66884.0,4315.0,58.98,28.91,25.93,1322.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2022-01,2022
Botswana,BWA,2022-03-21,2517260.0,1454775.0,1292541.0,10435.0,133983.0,105.01,60.69,53.92,55891.0,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2022-03,2022
Brazil,BRA,2022-03-29,413559595.0,181078067.0,160272858.0,1382570.0,656803.0,193.26,84.62,74.9,3069.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io,2022-03,2022
British Virgin Islands,VGB,2022-03-25,40537.0,19165.0,17646.0,,265.0,133.24,63.0,58.0,8711.0,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,2022-03,2022
Brunei,BRN,2022-03-18,1068468.0,407945.0,404935.0,3827.0,946.0,241.99,92.39,91.71,2143.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022-03,2022
Bulgaria,BGR,2022-03-29,4348404.0,0.0,2049909.0,1845.0,1395.0,63.05,30.18,29.72,202.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika,2022-03,2022
Burkina Faso,BFA,2022-03-20,2369487.0,2131880.0,1188545.0,,2527.0,11.02,9.92,5.53,118.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022-03,2022
Burundi,BDI,2022-03-18,12166.0,10372.0,9906.0,93.0,50.0,0.1,0.08,0.08,4.0,Sinopharm/Beijing,World Health Organization,https://covid19.who.int/,2022-03,2022
Cambodia,KHM,2022-03-28,36819740.0,14814942.0,13989488.0,43283.0,36055.0,217.27,87.42,82.55,2128.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://web.facebook.com/MinistryofHealthofCambodia/posts/341471994676237,2022-03,2022
Cameroon,CMR,2022-03-21,1558668.0,1348787.0,1048664.0,9890.0,23800.0,5.73,4.95,3.85,874.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022-03,2022
Canada,CAN,2022-03-28,82076782.0,32665747.0,31149796.0,24678.0,24421.0,215.61,85.81,81.83,642.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,2022-03,2022
Cape Verde,CPV,2022-03-26,728077.0,354533.0,306782.0,4461.0,412.0,129.57,63.1,54.6,733.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022-03,2022
Cayman Islands,CYM,2022-03-25,141118.0,60364.0,58385.0,226.0,62.0,212.21,90.78,87.8,932.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2022-03,2022
